District,Constituency,Expected Winning Party (By PPA on 11-11-25),Actual Winner (after results on 14-11-25),Expected Votes (By PPA on 11-11-25),Actual Votes (after results on 14-11-25),Vote Diff,Runner-Up (By PPA on 11-11-25),Actual Runner-Up (after results on 14-11-25),Runner-Up Votes (By PPA on 11-11-25),Actual Runner-Up Votes (after results on 14-11-25),Winning Margin (By PPA on 11-11-25),Actual Margin (after results on 14-11-25),Error Margin ±5000 proposed (By PPA on 11-11-25),After Adjustment actual diffence
,106 - ZIRADEIज़िरादेई,JDU (NDA),JDU (NDA),62179,66227,4048,CPIML (MGB),CPIML (MGB),48362,63601,13817,2626,6817,-4191
,107 - DARAULI (SC)दरौली (अ.जा.),LJP (NDA),LJP (NDA),81065,83014,1949,CPIML (MGB),CPIML (MGB),55465,73442,25600,9572,18600,-9028
,108 - RAGHUNATHPURरघुनाथपुर,JDU (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,109 - DARAUNDHAदरौंधा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,110 - BARHARIAबड़हरिया,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,111 - GORIAKOTHIगोरियाकोठी,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,112 - MAHARAJGANJमहराजगंज,JDU (NDA),JDU (NDA),74408,86813,12405,RJD (MGB),RJD (MGB),61490,65714,25733,21099,21099,0
SARANसारण (छपरा),113 - EKMAएकमा,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,114 - MANJHIमांझी,CPIM (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,115 - BANIAPURबनियापुर,BJP (NDA),BJP (NDA),89823,95606,5783,RJD (MGB),RJD (MGB),83587,80170,6236,15436,13236,2200
,116 - TARAIYAतरैया,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,117 - MARHAURAमरहौरा,RJD (MGB),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,118 - CHAPRAछपरा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,119 - GARKHA (SC)गरखा (अ.जा.),RJD (MGB),RJD (MGB),88730,91134,2404,LJP (NDA),RJD (MGB),79127,78330,9603,12804,12804,0
,120 - AMNOURअमनौर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,121 - PARSAपरसा,RJD (MGB),RJD (MGB),98542,89093,-9449,JDU (NDA),JDU (NDA),78681,63321,19861,25772,25772,0
,122 - SONEPURसोनेपुर,BJP (NDA),BJP (NDA),81789,90842,9053,RJD (MGB),RJD (MGB),65431,86075,16358,4767,9358,-4591
VAISHALIवैशाली,123 - HAJIPURहाजीपुर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,124 - LALGANJलालगंज,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,125 - VAISHALIवैशाली,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,126 - MAHUAमहुआ,JJD,LJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,127 - RAJA PAKAR (SC)राजा पाकर (अ.जा.),INC (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,128 - RAGHOPURराघोपुर,RJD (MGB),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,129 - MAHNARमहनार,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,130 - PATEPUR (SC)पातेपुर (अ.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
SAMASTIPURसमस्तीपुर,131 - KALYANPUR (SC)कल्याणपुर (अ.जा.),JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,132 - WARISNAGARवारिसनगर,JDU (NDA),JDU (NDA),81207,108968,27761,CPIML (MGB),CPIML (MGB),69606,74532,11601,34436,18601,15835
,133 - SAMASTIPURसमस्तीपुर,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,134 - UJIARPURउजियारपुर,RJD (MGB),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,135 - MORWAमोरवा,RJD (MGB),RJD (MGB),75092,77770,2678,JDU (NDA),JDU (NDA),62537,69099,12555,8671,8671,0
,136 - SARAIRANJANसरायरंजन,JDU (NDA),JDU (NDA),92596,102792,10196,RJD (MGB),RJD (MGB),70947,81994,21649,20798,20798,0
,137 - MOHIUDDINNAGARमोहिउद्दीननगर,BJP (NDA),BJP (NDA),83971,89208,5237,RJD (MGB),RJD (MGB),61363,77526,22608,11682,15608,-3926
,138 - BIBHUTIPURबिभूतिपुर,JDU (NDA),CPI(M),-,-,-,-,-,-,-,-,-,±5000,-
,139 - ROSERA (SC)रोसेरा (अ.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,140 - HASANPURहसनपुर,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
BEGUSARAIबेगूसराय,141 - CHERIA BARIARPURचेरिया बरियारपुर,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,142 - BACHHWARAबछवाड़ा,BJP (NDA),BJP (NDA),79786,100343,20557,INC (MGB),INC (MGB),54205,84502,25581,15841,18581,-2740
,143 - TEGHRAतेघरा,BJP (NDA),BJP (NDA),101961,112770,10809,CPI,CPI,48965,77406,55996,35364,48996,-13632
,144 - MATIHANIमटिहानी,JDU (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,145 - SAHEBPUR KAMALसाहेबपुर कमाल,LJP (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,146 - BEGUSARAIबेगूसराय,BJP (NDA),BJP (NDA),96118,119506,23388,INC (MGB),INC (MGB),72432,88874,23686,30632,30632,0
,147 - BAKHRI (SC)बखरी (अ.जा.),LJP (NDA),LJP (NDA),89350,98511,9161,CPI,CPI,58940,81193,30410,17318,23410,-6092
KHAGARIAखगरिया,148 - ALAULI (SC)अलौली (अ.जा.),RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,149 - KHAGARIAखगरिया,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,150 - BELDAURबेलदौर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,151 - PARBATTAपरबत्ता,LJP (NDA),LJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
BHAGALPURभागलपुर,152 - BIHPURबिहपुर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,153 - GOPALPURगोपालपुर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,154 - PIRPAINTI (SC)पीरपैंती (अ.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,155 - KAHALGAONकहलगांव,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,156 - BHAGALPURभागलपुर,BJP (NDA),BJP (NDA),95673,100770,5097,INC (MGB),INC (MGB),63782,87296,31891,13474,24891,-11417
,157 - SULTANGANJसुल्तानगंज,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,158 - NATHNAGARनाथनगर,RJD (MGB),LJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
BANKAबांका,159 - AMARPURअमरपुर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,160 - DHAURAIYA (SC)धौरैया (अ.जा.),RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,161 - BANKAबांका,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,162 - KATORIA (ST)कटोरिया प्रखण्ड (ज.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,163 - BELHARबेलहर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
MUNGERमुंगेर,164 - TARAPURतारापुर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,165 - MUNGERमुंगेर,BJP (NDA),BJP (NDA),75092,108028,32936,RJD (MGB),RJD (MGB),50061,89278,25031,18750,18031,719
,166 - JAMALPURजमालपुर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
LAKHISARAIलखीसराय,167 - SURYAGARHAसूर्यगढ़,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,168 - LAKHISARAIलखीसराय,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
SHEIKHPURAशेखपुरा,169 - SHEIKHPURAशेखपुरा,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,170 - BARBIGHAबरबीघा,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
NALANDAनालंदा,171 - ASTHAWANअस्थावां,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,172 - BIHARSHARIFबिहारशरीफ,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,173 - RAJGIR (SC)राजगीर (अ.जा.),JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,174 - ISLAMPURइस्लामपुर,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,175 - HILSAहिलसा,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,176 - NALANDAनालंदा,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,177 - HARNAUTहरनौत,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,178 - MOKAMAमोकामा,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
PATNAपटना,179 - BARHबाढ,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,180 - BAKHTIARPURबख्तियारपुर,LJP (NDA),LJP (NDA),90870,88520,-2350,RJD (MGB),RJD (MGB),65584,87539,25286,981,18286,-17305
,181 - DIGHAदीघा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,182 - BANKIPURबांकीपुर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,183 - KUMHRARकुम्हरार,BJP (NDA),BJP (NDA),92905,100485,7580,INC (MGB),INC (MGB),56093,52961,23727,47524,30727,16797
,184 - PATNA SAHIBपटना साहिब,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,185 - FATUHAफतुहा,LJP (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,186 - DANAPURदानापुर,RJD (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,187 - MANERमनेर,RJD (MGB),RJD (MGB),102962,110798,7836,LJP (NDA),LJP (NDA),85056,90764,17906,20034,20034,0
,188 - PHULWARI (SC)फुलवारी (अ.जा.),CPIML (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,189 - MASAURHI (SC)मसौर्ही (अ.जा.),JDU (NDA),JDU (NDA),116165,106505,-9660,RJD (MGB),RJD (MGB),60466,98862,55699,7643,48699,-41056
,190 - PALIGANJपालीगंज,CPIML (MGB),CPIML (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,191 - BIKRAMबिक्रम,BJP (NDA),BJP (NDA),119503,101189,-18314,INC (MGB),INC (MGB),69668,95588,49835,5601,42835,-37234
BHOJPURभोजपुर,192 - SANDESHसंदेश,JDU (NDA),JDU (NDA),86741,80598,-6143,RJD (MGB),RJD (MGB),69153,80571,17588,27,10588,-10561
,193 - BARHARAबरहरा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,194 - ARRAHआरा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
