Constituency Name,YSRCP Expected,YSRCP Actual,TDP & JNP & BJP Expected,TDP & JNP & BJP Actual,Congress & CPI Expected,Congress & CPI Actual,NOTA Expected,NOTA Actual,Others Expected,Others Actual,Winning Candidate,Expected Winner (SGED),Actual Winner 2024,SGED Winning Margin,Win Margin ±5000 Votes Party By SGED,Actual Margin 2024,Vote %,Total Votes,Difference After Actullality
Prathipadu (SC),97636,86650,119149,128665,1986,3491,993,1389,1323,1284,Burla Ramanjaneyulu,TDP,TDP,21513,26513,42015,83.00%,221479,-15502
Guntur West,77261,64917,103934,116067,2207,3719,736,1055,919,2717,Piduguralla Madhavi,TDP,TDP,26673,31673,51150,67.00%,188475,-19477
Guntur East,75330,68853,97201,100815,2430,5239,729,1215,972,3369,Mohammad Nazeer,TDP,TDP,21870,26870,31962,70.00%,179491,-5092
Chilakaluripet,87827,77800,101260,111062,1628,2270,916,788,1017,3480,Prathipati Pulla Rao,TDP,TDP,13433,18434,33262,85.00%,195400,-14828
Narasaraopet,95956,83462,87005,103167,2148,1820,1253,1052,2327,1616,Chadalavada Aravind Babu,YSRCP,TDP,8951,8951,NaN,81.00%,191117,-
Sattenapalli,97319,90129,108468,117965,2492,1580,1180,1140,1049,1754,Kanna Lakshminarayana,TDP,TDP,11148,16148,27836,87.00%,212568,-11688
Vinukonda,109482,101171,121535,131438,3013,1902,1205,1694,803,2492,G. V. Anjaneyulu,TDP,TDP,12053,17053,30267,89.00%,238697,-13214
Gurazala,109011,98715,115551,128201,2180,2156,2071,1888,2143,2086,Yarapathineni Srinivasa Rao,TDP,TDP,6540,11541,29486,84.00%,233046,-17945
Macherla,100838,89095,112812,122413,2521,2237,2017,1746,1575,4608,Julakanti Brahmananda Reddy,TDP,TDP,11974,16974,33318,84.00%,220099,-16344
Yerragondapalem,97419,91741,80928,86541,1405,2192,3359,2231,2137,3020,Guduri Erixion Babu,YSRCP,YSRCP,16491,11491,5200,89.00%,185725,6291
Darsi,95409,101889,103863,99433,2657,1985,2415,2107,1449,1692,Gottipati Lakshmi,TDP,YSRCP,8454,8454,NaN,91.00%,207106,-
Parchur,89940,86562,105358,110575,2570,2293,1285,1289,1101,1555,Yeluri Sambasiva Rao,TDP,TDP,15418,21418,24013,87.00%,202274,-2595
Addanki,100960,91528,108868,116418,2356,4072,1683,1600,1514,1900,Gottipati Ravikumar,TDP,TDP,7908,12908,24890,88.00%,215518,-11982
Chirala,69775,51716,90919,72700,1692,41859,1480,1255,3594,2798,Karanam Venkatesh,TDP,TDP,21144,21144,20984,83.00%,170328,160
Santhanuthalapadu,86288,75372,95192,105757,1836,2715,1469,1725,2937,4347,Merugu Nagarjuna,TDP,TDP,8904,13904,30385,87.00%,189916,-16481
Ongole,92476,84774,105884,118800,2063,2067,1375,1310,1375,2352,Damacharla Janardhana Rao,TDP,TDP,13407,18407,34026,85.00%,209303,-15619
Kandukur,94146,90615,105402,109173,1228,2300,819,1025,2046,3660,Inturi Nageswara Rao,TDP,TDP,11256,16257,18555,89.00%,206773,-2298
Kondapi,96231,91918,107721,116674,919,1666,2011,1612,4021,2074,Dola Sree Bala Veeranjaneya Swamy,TDP,TDP,11490,16490,24756,88.00%,213944,-8266
Markapuram,85105,85026,97409,99005,1641,2088,1846,1327,1845,3484,Kandula Narayana Reddy,TDP,TDP,12304,12304,13979,88.00%,190930,-1675
Giddalur,99139,97490,95598,98463,1700,2879,2266,2251,3540,5786,Muthumula Ashok Reddy,YSRCP,TDP,3540,3540.674492,NaN,84.00%,206869,-
Kanigiri,96775,92441,99414,107045,1760,1838,2287,2217,4046,2606,Daddala Narayana Yadav,TDP,TDP,2639,7639,14604,85.00%,206147,-6965
Kavali,88001,75588,104925,106536,2031,2340,2166,2030,947,13488,Kavya Krishna Reddy,TDP,TDP,16923,21923,30948,83.00%,199982,-9025
Atmakur,88490,83589,85742,91165,1539,2915,2308,2347,1758,2877,Anam Ramanarayana Reddy,YSRCP,TDP,2748,2748.140203,NaN,83.00%,182893,-
Kovur,99676,76040,104423,130623,3797,3203,2816,2377,1265,3011,Vemireddy Prashanti Reddy,TDP,TDP,4746,9746,54583,79.00%,215254,-44837
Nellore City,73853,48062,94103,120551,1668,2038,1191,967,952,3120,Ponguru Narayana,TDP,TDP,20249,25250,72489,72.00%,174738,-47239
Nellore Rural,88882,75495,95012,109975,1839,4280,2145,2016,2451,2776,Kotamreddy Sridhar Reddy,TDP,TDP,6129,11130,34480,68.00%,194542,-23350
Sarvepalli,90020,86990,98802,103278,1996,1577,2794,2057,998,1814,Somireddy Chandra Mohan Reddy,TDP,TDP,8782,13782,16288,84.00%,195716,-2506
Gudur,91199,81483,96265,102675,1520,3308,2635,3129,1823,3970,Pasam Sunil Kumar,TDP,TDP,5066,10067,21192,79.00%,194565,-11125
